user_id,name,age,gender,location
1,User 1,21,M,Tokyo
2,User 2,64,O,Tokyo
3,User 3,42,F,Phoenix
4,User 4,21,O,Paris
5,User 5,62,O,Chicago
6,User 6,59,M,New York
7,User 7,33,F,Chicago
8,User 8,48,O,Chicago
9,User 9,55,M,Phoenix
10,User 10,20,O,Phoenix
11,User 11,27,M,Phoenix
12,User 12,52,M,Paris
13,User 13,24,M,Chicago
14,User 14,41,M,Paris
15,User 15,46,F,Los Angeles
16,User 16,22,F,London
17,User 17,37,M,Phoenix
18,User 18,25,O,Chicago
19,User 19,61,F,Phoenix
20,User 20,41,F,Los Angeles
21,User 21,53,F,London
22,User 22,33,F,London
23,User 23,26,F,New York
24,User 24,24,O,Tokyo
25,User 25,43,M,Phoenix
26,User 26,55,M,Paris
27,User 27,38,O,Paris
28,User 28,31,M,Paris
29,User 29,59,F,Los Angeles
30,User 30,21,O,Tokyo
31,User 31,47,O,London
32,User 32,46,F,Tokyo
33,User 33,64,M,Houston
34,User 34,53,F,Paris
35,User 35,53,O,Los Angeles
36,User 36,56,O,New York
37,User 37,32,O,Chicago
38,User 38,56,M,Los Angeles
39,User 39,60,M,Phoenix
40,User 40,29,F,Paris
41,User 41,43,M,Paris
42,User 42,52,F,New York
43,User 43,63,O,Tokyo
44,User 44,45,O,New York
45,User 45,23,O,Los Angeles
46,User 46,29,O,London
47,User 47,22,F,Houston
48,User 48,33,O,Houston
49,User 49,62,O,London
50,User 50,34,M,Chicago
